               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043373,            0.043647,           0.0054675,             0.79564,             0.60013,             0.68631,             0.39551,            0.038337,            0.031175,           0.0037373,            0.006535,            0.006535,            0.006535
                  37,            0.043256,            0.043159,           0.0054164,             0.78887,             0.59785,               0.688,             0.39674,            0.038283,            0.031146,           0.0037391,            0.006436,            0.006436,            0.006436
                  38,            0.043113,            0.043452,           0.0052541,             0.78115,              0.6034,             0.68658,              0.3973,            0.038251,            0.031144,           0.0037427,            0.006337,            0.006337,            0.006337
                  39,            0.043126,             0.04341,           0.0053104,             0.77718,              0.6081,             0.68827,             0.39744,             0.03822,            0.031138,            0.003734,            0.006238,            0.006238,            0.006238
                  40,            0.043054,            0.043005,           0.0053162,             0.77383,             0.60871,             0.68823,              0.3975,            0.038199,            0.031133,           0.0037322,            0.006139,            0.006139,            0.006139
                  41,            0.042949,            0.042979,            0.005221,             0.76632,             0.61534,             0.68826,             0.39825,            0.038177,            0.031125,           0.0037257,             0.00604,             0.00604,             0.00604
                  42,            0.042956,            0.043171,           0.0051537,             0.76582,             0.61979,             0.68831,              0.3986,             0.03815,            0.031109,           0.0037171,            0.005941,            0.005941,            0.005941
                  43,             0.04268,            0.042928,           0.0051095,               0.761,             0.61921,             0.68914,             0.39923,            0.038124,            0.031097,           0.0037134,            0.005842,            0.005842,            0.005842
                  44,            0.042784,            0.042833,           0.0051474,             0.75789,             0.62209,             0.68842,             0.39972,            0.038104,            0.031093,           0.0037072,            0.005743,            0.005743,            0.005743
                  45,            0.042822,            0.042945,           0.0051008,             0.75461,             0.62272,             0.68812,             0.39981,            0.038088,            0.031085,           0.0037014,            0.005644,            0.005644,            0.005644
                  46,            0.042759,            0.042925,           0.0051184,             0.76087,             0.62094,              0.6878,             0.40003,            0.038072,            0.031074,           0.0036957,            0.005545,            0.005545,            0.005545
                  47,            0.042543,            0.042622,           0.0050586,             0.75883,             0.62172,             0.68745,             0.40062,            0.038048,            0.031071,            0.003689,            0.005446,            0.005446,            0.005446
                  48,            0.042441,            0.042569,            0.005023,             0.76686,             0.61997,             0.68828,             0.40118,            0.038029,             0.03106,           0.0036798,            0.005347,            0.005347,            0.005347
                  49,            0.042342,            0.042784,           0.0049579,             0.76269,             0.62201,             0.69219,             0.40132,            0.038019,            0.031058,           0.0036702,            0.005248,            0.005248,            0.005248
                  50,            0.042247,            0.042264,           0.0049733,             0.76227,             0.62428,             0.69346,             0.40207,            0.038002,            0.031051,           0.0036642,            0.005149,            0.005149,            0.005149
                  51,            0.042309,            0.042245,           0.0049947,             0.76392,             0.62561,             0.69424,             0.40195,            0.037988,            0.031036,           0.0036598,             0.00505,             0.00505,             0.00505
                  52,            0.042223,             0.04235,           0.0050038,             0.76784,             0.62192,             0.69157,             0.40249,            0.037976,            0.031028,           0.0036599,            0.004951,            0.004951,            0.004951
                  53,            0.042151,            0.042378,           0.0049316,             0.77104,             0.62129,             0.69393,               0.403,            0.037962,            0.031014,           0.0036635,            0.004852,            0.004852,            0.004852
                  54,            0.041999,            0.041889,           0.0048722,             0.77165,             0.62061,              0.6945,             0.40364,            0.037948,            0.031012,           0.0036634,            0.004753,            0.004753,            0.004753
                  55,            0.042072,            0.042325,           0.0048497,             0.77223,             0.62274,             0.69399,             0.40308,            0.037949,             0.03101,            0.003662,            0.004654,            0.004654,            0.004654
                  56,             0.04179,            0.041813,            0.004804,             0.77261,             0.62271,             0.69472,             0.40318,            0.037944,            0.030999,           0.0036584,            0.004555,            0.004555,            0.004555
                  57,            0.041918,            0.042055,           0.0048019,             0.77468,             0.62181,             0.69499,             0.40354,            0.037933,            0.030997,           0.0036553,            0.004456,            0.004456,            0.004456
                  58,            0.041758,            0.041632,           0.0047641,             0.77466,             0.62058,             0.69177,             0.40342,            0.037923,            0.030993,           0.0036561,            0.004357,            0.004357,            0.004357
                  59,             0.04169,             0.04162,           0.0046948,             0.77636,             0.62066,             0.69583,             0.40378,            0.037918,            0.030996,           0.0036513,            0.004258,            0.004258,            0.004258
                  60,            0.041591,            0.041799,           0.0046861,             0.77923,             0.62067,             0.69605,             0.40468,            0.037913,            0.030994,           0.0036464,            0.004159,            0.004159,            0.004159
                  61,            0.041497,            0.041829,           0.0046621,             0.77798,             0.62056,             0.69623,             0.40526,            0.037901,            0.030984,           0.0036447,             0.00406,             0.00406,             0.00406
                  62,            0.041474,            0.041457,           0.0046248,             0.77804,             0.62103,             0.69669,             0.40552,            0.037892,            0.030975,           0.0036455,            0.003961,            0.003961,            0.003961
                  63,            0.041189,            0.041172,           0.0046307,             0.77908,              0.6189,             0.69703,             0.40601,            0.037879,            0.030969,           0.0036439,            0.003862,            0.003862,            0.003862
                  64,             0.04136,            0.041516,           0.0045924,             0.78389,             0.61723,             0.69687,             0.40584,            0.037872,            0.030969,           0.0036418,            0.003763,            0.003763,            0.003763
                  65,            0.041269,            0.041484,           0.0045478,             0.78033,             0.62138,              0.6973,             0.40596,             0.03787,            0.030974,           0.0036411,            0.003664,            0.003664,            0.003664
                  66,             0.04121,            0.041321,           0.0045315,             0.77716,             0.62292,             0.69669,             0.40487,            0.037874,            0.030977,           0.0036419,            0.003565,            0.003565,            0.003565
                  67,            0.040981,            0.040826,            0.004441,             0.77983,             0.62264,             0.69611,             0.40507,            0.037876,             0.03098,           0.0036408,            0.003466,            0.003466,            0.003466
                  68,            0.040964,            0.041186,           0.0044672,              0.7806,             0.62143,             0.69801,             0.40495,            0.037869,             0.03098,           0.0036414,            0.003367,            0.003367,            0.003367
                  69,            0.040902,            0.040836,           0.0044488,              0.7807,             0.61961,             0.69764,             0.40441,            0.037869,            0.030982,           0.0036416,            0.003268,            0.003268,            0.003268
                  70,            0.040851,            0.040722,           0.0044258,             0.77559,             0.62318,             0.69803,             0.40476,            0.037867,            0.030988,           0.0036475,            0.003169,            0.003169,            0.003169
                  71,            0.040682,             0.04066,           0.0043959,             0.77335,             0.62733,             0.69802,             0.40445,            0.037855,             0.03099,           0.0036498,             0.00307,             0.00307,             0.00307
                  72,             0.04051,            0.040415,           0.0042828,             0.76013,             0.63762,             0.69813,             0.40442,            0.037848,            0.030996,           0.0036488,            0.002971,            0.002971,            0.002971
                  73,            0.040527,            0.040631,           0.0043125,             0.76218,             0.63767,             0.69793,             0.40406,            0.037844,            0.030995,           0.0036498,            0.002872,            0.002872,            0.002872
                  74,            0.040559,            0.040622,           0.0042701,             0.76089,             0.63709,             0.69736,             0.40425,             0.03784,            0.030994,           0.0036492,            0.002773,            0.002773,            0.002773
                  75,            0.040385,            0.040252,           0.0042149,             0.75791,             0.63548,             0.69484,             0.40281,             0.03783,            0.031002,           0.0036486,            0.002674,            0.002674,            0.002674
                  76,            0.040196,            0.040118,           0.0041841,             0.75754,             0.63621,             0.69493,             0.40374,            0.037825,            0.031002,           0.0036466,            0.002575,            0.002575,            0.002575
                  77,            0.040153,             0.04013,           0.0041271,             0.75808,             0.63788,             0.69546,             0.40369,            0.037819,            0.031007,           0.0036454,            0.002476,            0.002476,            0.002476
                  78,             0.03997,            0.040019,           0.0040594,             0.75938,             0.63769,             0.69572,             0.40371,            0.037813,            0.031015,           0.0036475,            0.002377,            0.002377,            0.002377
                  79,             0.03984,            0.039719,           0.0040557,             0.75937,             0.63875,             0.69543,             0.40327,            0.037806,            0.031025,           0.0036466,            0.002278,            0.002278,            0.002278
                  80,            0.039833,            0.039732,           0.0039882,             0.75985,             0.64017,              0.6972,             0.40307,            0.037794,            0.031024,           0.0036417,            0.002179,            0.002179,            0.002179
                  81,            0.039756,            0.039491,           0.0040104,             0.76347,             0.63552,             0.69671,             0.40491,            0.037788,            0.031032,           0.0036441,             0.00208,             0.00208,             0.00208
                  82,            0.039567,            0.039568,           0.0040048,             0.76307,             0.63614,             0.69703,             0.40485,            0.037778,            0.031043,           0.0036441,            0.001981,            0.001981,            0.001981
                  83,            0.039558,            0.039423,           0.0039406,              0.7671,             0.63532,              0.6976,             0.40572,            0.037771,            0.031056,           0.0036436,            0.001882,            0.001882,            0.001882
                  84,            0.039376,            0.039095,           0.0039149,             0.76483,             0.63848,              0.6977,             0.40572,            0.037764,            0.031077,           0.0036434,            0.001783,            0.001783,            0.001783
                  85,            0.039273,            0.038907,           0.0038439,             0.76443,             0.63902,             0.69825,             0.40549,            0.037757,            0.031091,           0.0036466,            0.001684,            0.001684,            0.001684
                  86,            0.039199,            0.038977,            0.003782,             0.76406,             0.64092,             0.69799,             0.40522,            0.037753,            0.031107,           0.0036493,            0.001585,            0.001585,            0.001585
                  87,             0.03902,            0.038759,            0.003801,             0.76277,             0.64408,             0.69821,             0.40567,            0.037745,            0.031115,           0.0036517,            0.001486,            0.001486,            0.001486
                  88,            0.038845,            0.038535,           0.0037437,             0.76502,             0.64119,             0.69704,             0.40569,            0.037744,             0.03113,           0.0036577,            0.001387,            0.001387,            0.001387
                  89,            0.038719,             0.03825,           0.0036967,             0.76883,             0.63993,             0.69663,             0.40544,            0.037743,             0.03114,           0.0036652,            0.001288,            0.001288,            0.001288
                  90,             0.03869,            0.038516,            0.003757,             0.76803,              0.6397,             0.69696,             0.40477,            0.037741,            0.031156,           0.0036749,            0.001189,            0.001189,            0.001189
                  91,             0.03855,            0.038264,           0.0036447,             0.76484,             0.63951,             0.69515,             0.40517,            0.037745,            0.031179,           0.0036823,             0.00109,             0.00109,             0.00109
                  92,            0.038405,            0.038022,            0.003655,             0.76773,             0.63835,             0.69654,             0.40504,            0.037747,            0.031194,           0.0036864,            0.000991,            0.000991,            0.000991
                  93,            0.038345,            0.038364,           0.0035016,             0.77318,             0.63565,              0.6967,             0.40478,            0.037747,            0.031219,           0.0036907,            0.000892,            0.000892,            0.000892
                  94,            0.038226,            0.038097,           0.0035074,             0.78355,             0.63072,             0.69566,             0.40473,            0.037752,            0.031238,            0.003698,            0.000793,            0.000793,            0.000793
                  95,            0.038096,             0.03748,           0.0035188,             0.78537,             0.62723,             0.69454,              0.4045,            0.037756,            0.031264,           0.0037064,            0.000694,            0.000694,            0.000694
                  96,            0.037999,            0.037547,           0.0035135,             0.78763,              0.6256,             0.69416,             0.40533,            0.037763,            0.031289,            0.003717,            0.000595,            0.000595,            0.000595
                  97,            0.037806,            0.037006,           0.0034106,             0.78572,             0.62576,             0.69398,             0.40492,            0.037771,            0.031314,           0.0037275,            0.000496,            0.000496,            0.000496
                  98,            0.037773,            0.037252,           0.0034146,             0.78525,             0.62421,             0.69408,              0.4048,            0.037781,            0.031335,           0.0037397,            0.000397,            0.000397,            0.000397
                  99,            0.037647,            0.037244,           0.0033992,             0.78765,             0.62658,             0.69487,             0.40433,            0.037792,            0.031364,           0.0037527,            0.000298,            0.000298,            0.000298
